"","on_oracle","policy_value","policy_SE","policy_value_last","regret","inverse_oracle_weight"
"uniform",0.125262,-0.295181825963166,0.000592942173129553,-0.351347034573953,0.235535826076337,8
"LinTS_floor",0.201603,-0.293500726172841,0.000642098149670081,-0.418134635296204,0.197753672853453,8.68644520792259
"BLTS",0.19618,-0.292368815698636,0.000679556086237669,-0.424577740079889,0.197076612984818,8.16278745352406
